zip,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,bottom_1,bottom_2,bottom_3,bottom_4,bottom_5,bottom_6,bottom_7,bottom_8,bottom_9,bottom_10
10151,10123,11559,11753,10167,10105,11371,10172,11242,11005,11241,12304,10993,12533,12309,12721,12528,14616,12033,14621,12525
10152,10119,10104,10165,11516,11793,10122,10176,10169,10121,10178,14616,12304,12309,12401,13820,12508,13480,11946,12033,13350
10153,10278,10155,11243,10020,10154,10111,10169,10107,10045,10170,12525,10993,13903,13820,12533,13480,10560,13350,13329,12304
10154,10111,10105,10167,10172,11241,11371,11753,10123,11005,10020,12401,13480,13350,11946,10993,13329,12508,12865,12122,10930
10155,10153,10278,11243,10048,10154,10020,11778,11767,11702,11724,11946,12533,12033,12204,12304,12309,12401,12508,12515,12518
10158,11241,10167,10123,10105,10172,11559,10151,11005,11753,11242,12515,12508,10509,12790,12401,13329,11946,13350,12721,13480
10162,10106,10103,10279,10112,11109,10177,10069,10107,10118,10271,14526,13480,11950,12721,11946,14616,12508,10993,12518,12033
10165,10122,10178,11516,11793,10104,10168,10174,11109,10152,10170,12525,12122,12204,12721,13903,13820,10560,13480,13350,13329
10166,11359,11371,10169,10119,11005,11242,10176,11753,10123,11559,14901,10923,10924,10925,10926,10930,10940,10941,11764,10970
10167,10151,10123,11241,11753,11559,11371,10158,10172,11242,10154,12533,12865,12814,12790,12779,12721,13820,12528,12525,12518
10168,10170,10174,10045,10107,10165,11109,10271,11243,10006,10069,13903,10930,12204,12775,10560,12779,12790,10537,12814,12122
10169,10119,10166,11359,10152,11697,10170,10154,11371,11005,10176,12525,12033,12204,13820,13480,13350,12304,12309,12401,12508
10170,10045,10174,10168,10107,11243,11109,10069,10165,10162,10112,12528,13480,13350,12865,12814,12790,12779,12721,12533,12525
10171,10107,10045,10281,10174,10112,11242,10111,10172,10170,10162,14901,10925,10926,10930,10940,10941,10970,10990,10993,12771
10172,10281,10105,10123,11753,11559,11005,10151,11371,10111,11241,14901,12540,10541,10546,10547,12533,12528,10560,12525,10570
10173,10168,10045,10175,10170,10174,10280,11243,10107,10165,10006,12528,10984,13480,10987,10989,10993,12721,13748,13790,13820
10174,10045,10170,10107,11243,10168,11109,10069,10165,10162,10281,12721,10930,13903,12528,10993,12525,12533,14616,12508,10509
10175,10803,10173,10110,10122,10470,10120,10165,10112,11243,10271,14901,11901,11933,11934,11937,11946,11948,11050,11042,11804
10176,11242,11559,10123,10151,10172,10105,11371,11753,10158,11005,12401,12309,12122,10930,10537,12304,12775,14616,11946,13350
10177,10118,10055,10103,10162,10271,10120,10106,11109,10279,11243,14901,14892,10941,12540,12533,12528,12525,12524,12518,12515
10178,10165,11516,11793,10176,10104,10122,10271,10152,11556,10594,12525,12204,12721,10537,12775,12779,11946,12790,12304,12814
10270,11599,10921,10950,10964,10526,10913,11792,13790,11721,13748,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
10271,10177,10162,11565,10594,11556,12553,10580,10916,10987,12303,14616,12508,12779,11946,12515,12304,12518,12525,12033,12790
10278,10153,10154,10111,10020,10155,11243,10105,11241,10167,10281,12204,12304,12309,12401,11946,12508,13820,12515,13480,12033
10279,10106,10103,10162,10105,10158,10112,11005,10172,10120,10281,12528,12865,11946,13350,12525,10993,12033,13820,12204,12304
10280,11040,10006,10020,10158,11004,10005,11241,10162,10168,10069,13480,12533,12721,11946,14616,12508,10993,12518,12033,12401
10281,10172,10112,10107,10111,10105,11005,11241,10151,10123,10154,12721,12304,12309,12401,13350,14616,12508,12515,14621,11946
10282,11001,11239,10069,11109,10475,10004,11360,10045,10107,11004,13480,10560,13903,10537,13329,12122,14883,10509,12533,11963
10301,10304,10305,10306,10302,10314,11235,10309,10303,11433,11435,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10302,10303,10304,10305,10314,10306,11423,10310,10309,10301,10469,11950,10560,13903,10537,13329,12122,14883,10509,14526,12721
10303,10302,10305,10304,10310,10306,10301,10314,10469,11433,10309,11950,10560,13903,10537,13329,12122,14883,10509,12721,11946
10304,10305,10302,10303,10314,10301,10309,10306,11433,11435,10465,10560,11950,13903,10537,13329,12122,14883,12721,11946,14616
10305,10306,10309,10314,10304,10303,10302,10308,10312,10301,10465,11950,10560,13903,14845,12540,14094,11705,11764,12787,10505
10306,10314,10305,10309,10308,10312,10302,10304,11357,10301,11229,11950,14845,12540,14094,11705,11764,12787,10505,13756,11937
10307,10309,10306,10308,10305,10312,10302,10314,11364,11361,11357,11950,14526,14845,12540,14094,11705,11764,12787,10505,13756
10308,10312,10314,10306,10309,10305,11357,11379,10302,11414,10465,11950,14845,12540,14094,11705,11764,12787,10505,13756,11937
10309,10314,10306,10312,10305,10308,10304,10302,10465,10307,11357,11950,14526,10560,13903,10537,13329,12721,11946,14616,12508
10310,10302,10303,10304,10306,10305,10301,10314,10308,10469,11423,11950,10560,13903,10537,13329,12122,14883,12721,11946,14616
10312,10308,10309,10314,10306,10305,11357,10465,11234,11379,10304,11950,14526,14845,12540,14094,11705,11764,12787,10505,13756
10314,10306,10308,10309,10312,10305,10304,10302,11234,10465,11357,10560,13903,10537,13329,11950,12721,11946,14616,12122,12508
10451,10455,10467,10456,10462,10458,10460,10029,10468,10452,10039,13480,10560,13903,10537,13329,12122,14883,12721,11946,14616
10452,10453,10468,10458,10460,10456,10457,11226,10467,11225,10032,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10453,10457,10452,10456,10468,10458,10467,10460,11226,10459,10031,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10454,10460,10459,10456,10451,11212,10473,10455,11221,10467,10466,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10455,10458,10459,10451,10456,10467,11226,11212,10460,10468,11216,10560,13903,10537,13329,12122,14883,12721,11946,14616,12508
10456,10453,10467,10458,10460,10452,10457,11212,11226,10459,11225,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10457,10453,10452,10456,10460,10458,10468,10467,11226,10459,10472,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10458,10468,10456,10467,10453,11226,10452,10460,10457,10455,10459,10560,13903,10537,12721,13329,11946,12122,14616,12515,12508
10459,11226,10460,10467,10458,10456,10455,10453,11213,10457,11225,10560,14845,12540,14094,11705,11764,12787,10505,13756,11937
10460,10456,10452,10467,10458,10453,10457,10459,11225,10472,10468,10560,13903,10537,14845,12540,14094,11705,11764,12787,10505
10461,11214,10469,10473,11432,11234,11235,10462,11435,11385,11209,10560,13903,10537,13329,12721,11946,12122,14616,12508,10993
10462,10467,10451,11225,10460,11435,10458,10459,10455,10463,11226,10560,13903,10537,13329,14845,12540,14094,11705,11764,12787
10463,10462,10029,10467,11225,10030,10451,10025,10026,10456,10473,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10464,11360,10302,10471,10303,10307,10306,11362,10314,10309,11693,14526,11950,10560,13903,10537,13329,12122,14883,14845,12540
10465,11378,10314,11423,11234,11385,10304,10309,10305,11435,11421,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10466,10469,11203,11207,10460,10459,11208,11212,11233,10467,10473,10560,13903,10537,13329,12122,14883,12721,11946,11950,10528
10467,10456,11226,10458,10460,10453,10468,11225,10459,10452,11213,10560,14845,12540,14094,11705,11764,12787,10505,13756,11937
10468,10458,10453,10452,10467,11226,10457,10456,10460,10031,11225,10560,13903,12721,10537,11946,13329,14616,12508,12122,10993
10469,10466,11423,11412,11413,11433,11207,11210,11234,11203,11236,10560,13903,10537,13329,12122,12721,14883,11946,14616,12508
10470,10302,10474,10303,10466,11102,10469,11423,11435,10471,11418,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10471,11427,11367,10465,11429,11694,11423,10305,11693,11364,11378,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10472,10460,10452,11213,10453,10456,10457,10467,10459,11226,11212,14845,12540,14094,11705,11764,12787,10505,13756,11937,11789
10473,10469,10461,10466,11212,10462,11435,11203,11207,11214,11433,10560,13903,10537,13329,12122,12721,14883,11946,14616,12508
10474,10460,10459,10302,11237,10301,11207,10455,11105,11233,10303,11950,14845,12540,14094,11705,11764,12787,10505,13756,11937
10475,11239,10473,10461,10462,10029,10451,11374,10463,11375,10037,13480,10560,13903,10537,13329,12122,14883,12721,11946,10509
10501,12203,14814,13501,14120,14202,14414,14009,14203,11727,14068,12528,10270,10177,12122,10175,12204,10172,10171,12303,12304
10502,11778,11724,11729,10590,10994,11767,11702,10514,14222,11765,10560,10509,10930,10537,10175,12122,12775,11243,14883,13329
10504,11790,10528,10560,13903,10537,13329,12122,14883,11963,10509,14901,12518,12515,12508,12428,12401,12309,12304,12524,12211
10505,12787,13756,11937,11764,11705,11789,14094,12589,12540,13850,12779,12528,12533,10989,12721,12775,11798,12790,12525,12814
10506,11719,10980,11579,10533,11780,11577,12207,10962,11024,10707,10930,10537,13329,12865,12814,12790,12779,12775,12721,12528
10507,11754,10709,12303,10580,10576,11732,10989,11568,11777,10950,14901,12401,12309,12304,12211,12209,12206,12205,10501,12428
10509,14883,12122,13329,10537,13903,10560,11963,10528,10504,10940,14901,10984,10983,10980,10977,10970,10965,10964,10987,10962
10510,14208,10533,11757,11579,11783,10506,10980,11719,11577,11514,12533,12790,12779,12721,12528,13350,12525,12518,12515,12508
10512,12601,13905,12550,11804,14043,10547,12590,14225,11763,12701,10930,10175,10172,10921,10964,11950,10917,10916,10171,10989
10514,11951,10941,13203,11751,14710,14301,13440,14108,12941,12428,10993,11243,13480,13350,13329,12865,10175,12814,12790,12779
10516,10579,10987,11792,10913,13790,10526,11721,13748,10964,11798,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
10520,11706,10589,10605,11030,11558,11756,11722,10595,11598,11553,10509,12775,12122,13329,11243,10537,10930,10175,13903,14883
10522,10984,10567,10965,11704,10801,11510,11563,10977,11726,10566,10537,10509,10175,14883,11243,13903,13329,10560,10930,12122
10523,11749,11720,14304,11714,10595,11509,11716,12202,10956,11560,10930,12865,10560,12814,10537,12790,12779,12775,12721,12533
10526,10964,10913,11792,13790,11721,13748,10921,11798,11713,11740,14901,12309,12304,12211,12209,12206,12205,12204,12203,12189
